iter	Logloss
0	0.6179322068
1	0.558804084
2	0.5151503489
3	0.4786502747
4	0.4514058245
5	0.4297860507
6	0.4126561774
7	0.3977706443
8	0.3867562748
9	0.3769825321
10	0.3699046092
11	0.3630439764
12	0.3578873217
13	0.3537836837
14	0.349677136
15	0.3464140795
16	0.3432748674
17	0.3408761557
18	0.3384864112
19	0.3369123211
20	0.3356526717
21	0.3343050639
22	0.3331632421
23	0.3318319232
24	0.3308701421
25	0.3305381578
26	0.3297784152
27	0.3290847611
28	0.3285713715
29	0.3279707622
30	0.3271717621
31	0.3266791146
32	0.3263488708
33	0.3257755038
34	0.3254507747
35	0.3249501059
36	0.3245322096
37	0.3243375255
38	0.3241256044
39	0.323886769
40	0.3235569299
41	0.3232940275
42	0.3230746376
43	0.3228785105
44	0.3226809796
45	0.3225208032
46	0.3223670743
47	0.3221468876
48	0.3219924651
49	0.3218630635
50	0.3217245473
51	0.3216153663
52	0.3214223448
53	0.3212362293
54	0.3211161839
55	0.3210114896
56	0.3209086351
57	0.320800215
58	0.3206852115
59	0.3205798445
60	0.3204520862
61	0.3203455647
62	0.3202606968
63	0.3201828123
64	0.3200837581
65	0.3199976833
66	0.319934492
67	0.31985735
68	0.3197607882
69	0.3196809356
70	0.3195886943
71	0.319532481
72	0.3194408458
73	0.3193647686
74	0.3192952332
75	0.3192431735
76	0.3192010232
77	0.3191318155
78	0.3190590124
79	0.3189922024
80	0.3189514355
81	0.318891457
82	0.3188348551
83	0.3187654337
84	0.318685327
85	0.3185971197
86	0.3185451331
87	0.3184912697
88	0.3184332782
89	0.3183887316
90	0.3183349843
91	0.3182816334
92	0.3182541216
93	0.3182131843
94	0.3181727185
95	0.3181240222
96	0.318085419
97	0.3180029907
98	0.3179608668
99	0.3179204734
100	0.3178702706
101	0.3178367192
102	0.3178054251
103	0.3177801036
104	0.3177469107
105	0.3177173194
106	0.3176626858
107	0.3176170761
108	0.3175752186
109	0.3175229203
110	0.3174714109
111	0.3174176003
112	0.3173719311
113	0.3173328352
114	0.3172903665
115	0.3172578266
116	0.3171907112
117	0.3171377865
118	0.3170922262
119	0.3170501503
120	0.3170005788
121	0.316968957
122	0.3169339699
123	0.3168878714
124	0.3168401302
125	0.3167954117
126	0.3167494518
127	0.3167038675
128	0.3166629317
129	0.3166222697
130	0.3165713468
131	0.3165396532
132	0.3164898445
133	0.3164618467
134	0.316429341
135	0.3163718553
136	0.3163267953
137	0.3162786236
138	0.3162315315
139	0.3161899416
140	0.3161624121
141	0.3161190483
142	0.3160748112
143	0.3160245393
144	0.3159767254
145	0.3159265339
146	0.3158885913
147	0.3158390104
148	0.3157895913
149	0.3157523112
150	0.3157186988
151	0.3156677501
152	0.3156276048
153	0.3155761433
154	0.3155433501
155	0.3155063488
156	0.3154468804
157	0.3154034678
158	0.3153600639
159	0.3153152573
160	0.3152635837
161	0.3152220432
162	0.3151806635
163	0.3151425369
164	0.315094772
165	0.3150425934
166	0.3149960941
167	0.3149543813
168	0.314910658
169	0.3148752516
170	0.3148498957
171	0.3148062898
172	0.3147592954
173	0.3147181939
174	0.3146753256
175	0.314626195
176	0.314581992
177	0.3145352017
178	0.3144975801
179	0.3144454845
180	0.3144008843
181	0.3143631725
182	0.3143197491
183	0.3142695431
184	0.3142303197
185	0.3141935633
186	0.3141421341
187	0.3140999222
188	0.3140608141
189	0.3140291859
190	0.3139907536
191	0.3139533182
192	0.3139262973
193	0.3138931821
194	0.3138480318
195	0.3138085133
196	0.3137607336
197	0.3137166505
198	0.3136771695
199	0.3136403397
200	0.3135887774
201	0.3135567758
202	0.3135210702
203	0.3134848819
204	0.3134455487
205	0.3134025024
206	0.3133651087
207	0.3133253209
208	0.3132851707
209	0.3132390767
210	0.313204714
211	0.3131656796
212	0.3131176393
213	0.3130774877
214	0.3130354624
215	0.3129974917
216	0.312955842
217	0.3129240201
218	0.3128716886
219	0.3128395413
220	0.3128044788
221	0.3127683885
222	0.3127268571
223	0.3126761631
224	0.3126318878
225	0.3125974079
226	0.3125704536
227	0.3125312724
228	0.3124999999
229	0.3124665947
230	0.3124376171
231	0.3123992581
232	0.312370974
233	0.3123363048
234	0.3122997838
235	0.3122588603
236	0.3122193238
237	0.312173269
238	0.312134744
239	0.3120927319
240	0.3120541309
241	0.3120116718
242	0.3119830335
243	0.3119445375
244	0.3119013279
245	0.3118728889
246	0.3118298904
247	0.3117934397
248	0.3117467234
249	0.3117084975
250	0.3116783857
251	0.3116461686
252	0.3116201581
253	0.3116009111
254	0.31157442
255	0.3115359198
256	0.3115047051
257	0.3114693479
258	0.3114392556
259	0.3114105549
260	0.3113871617
261	0.3113511942
262	0.3113119579
263	0.3112733573
264	0.3112373312
265	0.3112054004
266	0.3111623669
267	0.3111325582
268	0.3110909912
269	0.3110610909
270	0.3110209485
271	0.3109844029
272	0.3109554192
273	0.3109223012
274	0.3108896054
275	0.3108481731
276	0.3108095127
277	0.3107639211
278	0.3107326342
279	0.310698026
280	0.3106783984
281	0.3106499601
282	0.3106135957
283	0.3105931654
284	0.310551852
285	0.3105148263
286	0.3104876098
287	0.3104533468
288	0.3104128322
289	0.3103749648
290	0.3103401572
291	0.3103075819
292	0.3102867063
293	0.3102475024
294	0.3102138851
295	0.3101748344
296	0.3101354704
297	0.310092641
298	0.3100576002
299	0.3100174489
300	0.3099800156
301	0.3099451624
302	0.309906472
303	0.3098744412
304	0.3098447609
305	0.3098005496
306	0.3097714331
307	0.3097419108
308	0.3097019348
309	0.3096719305
310	0.3096349192
311	0.3096198813
312	0.3095741637
313	0.309544485
314	0.3095053548
315	0.3094793074
316	0.3094495347
317	0.3094192362
318	0.309388902
319	0.3093631541
320	0.3093268892
321	0.3092856232
322	0.3092601813
323	0.3092344681
324	0.3092095271
325	0.3091775087
326	0.3091427279
327	0.3091188251
328	0.3090905977
329	0.3090454853
330	0.309012807
331	0.3089807983
332	0.3089456272
333	0.308908607
334	0.3088713559
335	0.3088363104
336	0.3087939078
337	0.308749774
338	0.3087175635
339	0.3086810182
340	0.3086528202
341	0.3086030839
342	0.3085750372
343	0.3085476229
344	0.3085225288
345	0.308500098
346	0.3084683274
347	0.3084291523
348	0.3083957981
349	0.3083558926
350	0.3083182506
351	0.3082897009
352	0.3082606467
353	0.3082292815
354	0.308208177
355	0.3081787804
356	0.3081534013
357	0.3081231034
358	0.3081028161
359	0.3080623606
360	0.3080374645
361	0.3080006597
362	0.3079699609
363	0.3079462211
364	0.3079027715
365	0.3078739023
366	0.3078465889
367	0.3078174844
368	0.3077874689
369	0.3077544515
370	0.3077324585
371	0.3077084098
372	0.3076893472
373	0.3076629853
374	0.3076306242
375	0.3076037605
376	0.3075692382
377	0.3075435873
378	0.3075214644
379	0.307497645
380	0.3074699878
381	0.3074362978
382	0.3074057683
383	0.307364707
384	0.307340391
385	0.3072998705
386	0.3072690981
387	0.3072417587
388	0.3072114486
389	0.3071851839
390	0.3071376626
391	0.3071118418
392	0.3070837731
393	0.3070637361
394	0.3070393979
395	0.3070157831
396	0.3069848363
397	0.3069609582
398	0.3069281216
399	0.306893991
400	0.3068653989
401	0.306835118
402	0.3068021605
403	0.3067781909
404	0.3067525217
405	0.3067200567
406	0.3066984009
407	0.306676996
408	0.3066371206
409	0.3066031441
410	0.3065737142
411	0.3065461749
412	0.306517357
413	0.3064916923
414	0.3064569574
415	0.306433158
416	0.3064196214
417	0.306387042
418	0.3063556462
419	0.3063254695
420	0.3062976937
421	0.3062696849
422	0.3062457621
423	0.3062197217
424	0.3061955616
425	0.3061736515
426	0.3061417273
427	0.3061196227
428	0.3060913984
429	0.3060633174
430	0.3060361301
431	0.3060175596
432	0.3059906678
433	0.3059541309
434	0.3059331454
435	0.3058926707
436	0.3058684269
437	0.3058405045
438	0.3058154256
439	0.3057809918
440	0.3057505926
441	0.305721313
442	0.3056848967
443	0.3056423908
444	0.3056022416
445	0.3055634723
446	0.3055414729
447	0.3055056174
448	0.3054884804
449	0.3054632387
450	0.3054397089
451	0.3054121761
452	0.3053801533
453	0.3053564117
454	0.3053191035
455	0.3052938653
456	0.3052616068
457	0.3052338986
458	0.3052090919
459	0.305179619
460	0.3051560507
461	0.3051117145
462	0.3050919962
463	0.3050615572
464	0.3050238803
465	0.3049983414
466	0.3049692392
467	0.3049400281
468	0.3049033392
469	0.3048713017
470	0.3048377624
471	0.3048260679
472	0.3047980551
473	0.3047700647
474	0.3047502703
475	0.304713566
476	0.3046743857
477	0.3046450021
478	0.3046233875
479	0.3045903339
480	0.3045592569
481	0.3045288838
482	0.3044900627
483	0.3044719012
484	0.3044479066
485	0.3044178212
486	0.3043876029
487	0.3043637819
488	0.3043244679
489	0.3042930051
490	0.3042703561
491	0.304247917
492	0.3042196803
493	0.3041924851
494	0.3041649849
495	0.3041422031
496	0.3041113173
497	0.3040907143
498	0.3040668471
499	0.3040341064
500	0.3040152818
501	0.3039887938
502	0.3039628431
503	0.3039289907
504	0.3039064123
505	0.3038774085
506	0.3038479181
507	0.3038136324
508	0.3037912462
509	0.3037644813
510	0.3037398053
511	0.3037213049
512	0.3036883935
513	0.303657159
514	0.3036455087
515	0.3036174314
516	0.3035821551
517	0.3035637574
518	0.3035240478
519	0.3034891048
520	0.3034629646
521	0.3034305844
522	0.3034061266
523	0.303379968
524	0.303351502
525	0.3033231844
526	0.3032941835
527	0.3032681938
528	0.3032475764
529	0.3032338492
530	0.3032077978
531	0.3031739818
532	0.303151957
533	0.3031272791
534	0.3030947924
535	0.3030555472
536	0.3030270359
537	0.3029892541
538	0.3029667399
539	0.3029436742
540	0.3029233654
541	0.3029012104
542	0.3028793355
543	0.3028548503
544	0.3028304699
545	0.302806434
546	0.3027768589
547	0.3027481347
548	0.3027208474
549	0.3026985034
550	0.3026627428
551	0.3026311837
552	0.302611829
553	0.302576134
554	0.302544706
555	0.3025273935
556	0.3025026017
557	0.3024852299
558	0.3024464743
559	0.3024218657
560	0.3023948637
561	0.3023715102
562	0.3023407685
563	0.3023224971
564	0.3022859054
565	0.3022531617
566	0.3022252574
567	0.3021978534
568	0.3021789842
569	0.3021473337
570	0.3021163324
571	0.3020830292
572	0.3020616039
573	0.3020302615
574	0.3020061721
575	0.3019775255
576	0.3019493959
577	0.3019266949
578	0.3019086977
579	0.3018763105
580	0.3018604639
581	0.3018458493
582	0.3018190346
583	0.3017941506
584	0.3017691396
585	0.3017448916
586	0.3017177403
587	0.3016833935
588	0.3016591035
589	0.3016283324
590	0.3016039905
591	0.3015809319
592	0.3015509471
593	0.3015173877
594	0.3015018046
595	0.3014765158
596	0.3014446374
597	0.3014227571
598	0.3013971263
599	0.3013689018
600	0.3013406695
601	0.3013200587
602	0.3012976673
603	0.3012811267
604	0.3012539469
605	0.3012324977
606	0.3012027461
607	0.3011755116
608	0.3011423654
609	0.3011054264
610	0.3010863857
611	0.3010661455
612	0.3010380012
613	0.3010027849
614	0.3009821953
615	0.3009551438
616	0.3009253339
617	0.3008929062
618	0.300858994
619	0.3008326063
620	0.3008047319
621	0.3007783679
622	0.300748448
623	0.3007143407
624	0.3006937831
625	0.3006636552
626	0.3006303365
627	0.3006137321
628	0.300593238
629	0.3005701837
630	0.300554345
631	0.3005184712
632	0.3004925274
633	0.3004755348
634	0.3004505554
635	0.3004327691
636	0.3004071356
637	0.3003816486
638	0.3003657606
639	0.3003383923
640	0.3003203478
641	0.3002934558
642	0.30027344
643	0.3002517905
644	0.3002302457
645	0.3002021926
646	0.300167084
647	0.3001399362
648	0.3001255202
649	0.3001003854
650	0.3000805983
651	0.3000510143
652	0.3000253591
653	0.300001698
654	0.2999859093
655	0.2999551912
656	0.2999263566
657	0.2999008236
658	0.299871033
659	0.2998484943
660	0.2998200579
661	0.2997873384
662	0.2997616135
663	0.2997387149
664	0.2997154581
665	0.2996905737
666	0.2996598834
667	0.2996418547
668	0.2996190141
669	0.2995916832
670	0.2995669499
671	0.2995414239
672	0.2995058064
673	0.2994874742
674	0.2994619062
675	0.2994361702
676	0.2994148217
677	0.2993862875
678	0.2993616015
679	0.299335165
680	0.2993115955
681	0.2992874288
682	0.2992649091
683	0.2992412792
684	0.2992164125
685	0.2991974834
686	0.2991611412
687	0.2991454641
688	0.2991142639
689	0.2990805915
690	0.2990496813
691	0.2990205867
692	0.2989942903
693	0.2989668771
694	0.2989376344
695	0.2989246174
696	0.2989054376
697	0.2988874268
698	0.2988626425
699	0.2988352702
700	0.2988088263
701	0.2987849065
702	0.2987675197
703	0.2987503994
704	0.2987167764
705	0.2986927253
706	0.2986693144
707	0.2986373927
708	0.2986132353
709	0.2985890851
710	0.2985633147
711	0.2985421947
712	0.2985107884
713	0.2984910863
714	0.2984687635
715	0.2984393762
716	0.2984052907
717	0.2983716981
718	0.2983489345
719	0.2983258361
720	0.2982864677
