iter	Passed	Remaining
0	249	249063
1	387	193259
2	441	146577
3	498	124077
4	547	108856
5	649	107669
6	706	100251
7	745	92432
8	793	87322
9	830	82267
10	866	77907
11	900	74130
12	941	71517
13	979	68958
14	1015	66708
15	1044	64263
16	1107	64023
17	1162	63440
18	1216	62816
19	1251	61303
20	1283	59842
21	1318	58606
22	1356	57620
23	1402	57032
24	1458	56872
25	1491	55874
26	1538	55434
27	1586	55087
28	1652	55332
29	1698	54926
30	1773	55434
31	1807	54675
32	1850	54211
33	1890	53726
34	1928	53177
35	1967	52685
36	1998	52016
37	2026	51311
38	2063	50851
39	2114	50737
40	2160	50523
41	2194	50053
42	2226	49551
43	2260	49104
44	2294	48696
45	2330	48326
46	2364	47937
47	2414	47888
48	2453	47620
49	2494	47404
50	2663	49553
51	2798	51016
52	2853	50987
53	2893	50695
54	2935	50441
55	2966	50011
56	2992	49501
57	3025	49141
58	3055	48738
59	3091	48435
60	3129	48180
61	3168	47930
62	3199	47589
63	3237	47348
64	3264	46963
65	3295	46636
66	3324	46288
67	3370	46189
68	3398	45860
69	3431	45596
70	3464	45328
71	3501	45136
72	3531	44841
73	3562	44579
74	3598	44382
75	3639	44248
76	3672	44021
77	3703	43780
78	3729	43482
79	3763	43285
80	3796	43070
81	3829	42871
82	3869	42751
83	3907	42608
84	3936	42378
85	3969	42185
86	4001	41987
87	4029	41758
88	4066	41622
89	4106	41524
90	4134	41295
91	4166	41122
92	4188	40853
93	4217	40651
94	4248	40472
95	4286	40369
96	4324	40261
97	4356	40094
98	4390	39953
99	4415	39742
100	4447	39591
101	4480	39443
102	4506	39248
103	4540	39117
104	4570	38956
105	4604	38838
106	4630	38649
107	4661	38502
108	4701	38435
109	4728	38259
110	4769	38202
111	4802	38078
112	4834	37948
113	4863	37798
114	4894	37663
115	4923	37518
116	4954	37391
117	4993	37324
118	5025	37208
119	5060	37110
120	5098	37034
121	5131	36927
122	5161	36802
123	5195	36702
124	5236	36652
125	5265	36525
126	5298	36420
127	5331	36323
128	5362	36207
129	5392	36087
130	5439	36084
131	5477	36020
132	5504	35881
133	5538	35793
134	5568	35680
135	5600	35576
136	5632	35478
137	5662	35372
138	5699	35306
139	5735	35231
140	5764	35120
141	5795	35017
142	5824	34904
143	5872	34910
144	5918	34900
145	5956	34841
146	6014	34902
147	6081	35012
148	6154	35148
149	6203	35151
150	6233	35047
151	6268	34970
152	6296	34859
153	6326	34754
154	6357	34661
155	6393	34589
156	6429	34521
157	6459	34423
158	6492	34342
159	6523	34248
160	6551	34138
161	6584	34061
162	6616	33977
163	6651	33907
164	6690	33857
165	6721	33767
166	6749	33664
167	6776	33560
168	6807	33471
169	6875	33566
170	6948	33687
171	7004	33720
172	7036	33635
173	7070	33566
174	7107	33505
175	7141	33435
176	7172	33349
177	7203	33263
178	7232	33173
179	7262	33086
180	7289	32984
181	7322	32909
182	7361	32864
183	7393	32788
184	7422	32699
185	7456	32630
186	7487	32554
187	7526	32506
188	7568	32478
189	7691	32788
190	7752	32838
191	7787	32771
192	7815	32680
193	7845	32594
194	7873	32503
195	7907	32438
196	7940	32365
197	7968	32277
198	8010	32242
199	8043	32172
200	8074	32097
201	8101	32003
202	8133	31934
203	8164	31857
204	8192	31770
205	8232	31731
206	8263	31657
207	8298	31596
208	8329	31523
209	8361	31456
210	8389	31371
211	8422	31304
212	8457	31250
213	8488	31179
214	8518	31102
215	8548	31028
216	8578	30953
217	8607	30877
218	8648	30841
219	8680	30777
220	8715	30720
221	8747	30655
222	8778	30585
223	8808	30515
224	8850	30486
225	8879	30408
226	8909	30338
227	8938	30265
