iter	Passed	Remaining
0	8	832
1	16	785
2	25	816
3	40	974
4	51	974
5	63	1000
6	74	995
7	94	1082
8	117	1192
9	131	1180
10	141	1142
11	152	1117
12	160	1075
13	170	1047
14	179	1016
15	188	989
16	197	962
17	207	946
18	217	925
19	225	902
20	235	884
21	245	868
22	255	854
23	267	847
24	278	835
25	287	818
26	299	810
27	311	799
28	325	796
29	336	784
30	347	773
31	357	758
32	367	746
33	377	733
34	388	720
35	397	707
36	408	695
37	417	681
38	427	668
39	438	658
40	449	647
41	459	634
42	468	621
43	480	612
44	491	600
45	506	594
46	513	578
47	522	566
48	531	553
49	541	541
50	553	531
51	563	520
52	573	508
53	585	499
54	596	488
55	607	477
56	618	466
57	628	454
58	637	442
59	647	431
60	659	421
61	668	409
62	679	398
63	689	387
64	699	376
65	710	365
66	719	354
67	732	344
68	742	333
69	751	322
70	761	311
71	772	300
72	785	290
73	794	279
74	805	268
75	814	257
76	824	246
77	834	235
78	843	224
79	853	213
80	864	202
81	875	192
82	887	181
83	897	171
84	908	160
85	918	149
86	929	138
87	939	128
88	953	117
89	963	107
90	972	96
91	981	85
92	991	74
93	1002	63
94	1012	53
95	1020	42
96	1029	31
97	1041	21
98	1052	10
99	1062	0
